video_id,format,title,published_at_utc,public_view_count,retrieved_at_utc,canonical_url,description_evidence_status,scope_note
rMooU1XKoEA,long,"부킹닷컴 숙소가 개인 계좌 송금 요구? 체크인 거부까지… 제가 겪은 실제 사건 / 플펭 세계여행",2026-08-23T00:18:14+00:00,19363,2026-08-28T19:08:04Z,https://www.youtube.com/watch?v=rMooU1XKoEA,available,"description says personal transfer/check-in/refund issue"
jpwTuDu7yeM,long,"유럽 폭염 에어컨 없이 헝가리 귀농 러이프/ 플펭 세계여행, 헝가리, 발라톤",2026-08-16T00:13:34+00:00,13529,2026-08-28T19:08:04Z,https://www.youtube.com/watch?v=jpwTuDu7yeM,available,"description says rural-life experience and 2026-08-08 filming"
l6euJMh-XZM,long,"하루 온도차 15도 실화냐?  중세에서 현대까지 트로기르_자그레브 / 플펭 세계여행",2026-08-09T00:00:30+00:00,16896,2026-08-28T19:08:04Z,https://www.youtube.com/watch?v=l6euJMh-XZM,available,"description names Trogir/Zagreb, May 2026 filming, venues"
pgeFXBIiaC8,long,"다시 온 유럽 폭염에 다뉴브 강도 말랐다. / 플펭 세계살이, 헝가리, 부다페스트",2026-08-02T00:00:20+00:00,34078,2026-08-28T19:08:04Z,https://www.youtube.com/watch?v=pgeFXBIiaC8,available,"description calls it Budapest heatwave update"
WL3exfTITns,long,"인기 많은데는 다 이유가 있다, 스플리트 / 플펭 세계여행 , 크로아티아 Split",2026-07-26T00:00:22+00:00,25832,2026-08-28T19:08:04Z,https://www.youtube.com/watch?v=WL3exfTITns,available,"description says Split May 2026 filming and lists venues"
pfD8pxWS8yE,short,"여행하면서 그림그리기,  벨리코터르노보, 불가리아",2026-07-22T02:00:38+00:00,3052,2026-08-28T19:08:04Z,https://www.youtube.com/shorts/pfD8pxWS8yE,empty,"RSS has no description"
eYVwfTV4w9o,long,"기대이상, 장기 체류를 꿈꾸게 되는 자다르 / 플펭 세계여행, 크로아티아",2026-07-19T00:00:03+00:00,23919,2026-08-28T19:08:04Z,https://www.youtube.com/watch?v=eYVwfTV4w9o,available,"description names Zadar, May 2026 filming, price/weather caveat"
eUDAIz67pwQ,short,"나를 찾아줘! 부다페스트 즐기는 방법,",2026-07-17T11:00:32+00:00,3649,2026-08-28T19:08:04Z,https://www.youtube.com/shorts/eUDAIz67pwQ,empty,"RSS has no description"
YlHhoy3zaPw,long,"불타는 유럽으로 돌아오다 / 헝가리 부다페스트, 플펭 세계여행",2026-07-15T00:00:34+00:00,37188,2026-08-28T19:08:04Z,https://www.youtube.com/watch?v=YlHhoy3zaPw,available,"description says return during heat-dome conditions"
PuLNGi9icog,long,"세계여행 버킷리스트 놓치면 안되는 플리트비체/ 플펭 세계여행, 크로아티아",2026-07-12T00:00:02+00:00,24357,2026-08-28T19:08:04Z,https://www.youtube.com/watch?v=PuLNGi9icog,available,"description only has membership line"
sIqzEIVJYrU,short,"불가리아 골목길, 여행하면서 그림그리기, 벨리코터르노보",2026-07-10T08:14:46+00:00,3214,2026-08-28T19:08:04Z,https://www.youtube.com/shorts/sIqzEIVJYrU,empty,"RSS has no description"
B6-a3EiUykQ,short,"유럽 숨겨진 멋진 소도시 여행, 벨리코터르노보 불가리아",2026-07-06T03:00:12+00:00,5049,2026-08-28T19:08:04Z,https://www.youtube.com/shorts/B6-a3EiUykQ,empty,"RSS has no description"
6GLuC7D8ys8,long,"이탈리아 추천 소도시, 트리에스테 몰아보기/ 플펭 세계여행, 이탈리아",2026-07-05T00:00:13+00:00,9464,2026-08-28T19:08:04Z,https://www.youtube.com/watch?v=6GLuC7D8ys8,available,"description says compilation and May 2025 filming"
4zSqr2MnjtI,short,"여행하면서 그림그리기,  소피아, 불가리아",2026-07-02T08:40:34+00:00,5135,2026-08-28T19:08:04Z,https://www.youtube.com/shorts/4zSqr2MnjtI,empty,"RSS has no description"
Z8w2IkXMYfA,long,"가성비 유럽 여행지 불가리아 여행비 정산인데 한국이 더 좋은 이유/ 플펭 세계여",2026-06-30T01:00:40+00:00,12960,2026-08-28T19:08:04Z,https://www.youtube.com/watch?v=Z8w2IkXMYfA,available,"description says Bulgaria trip cost settlement"
